date;year;month;day;day_of_week;day_of_year;week_of_year;is_weekend;is_summer;is_public_holiday
2023-10-27;2023;10;27;4;300;43;False;False;False
2023-10-28;2023;10;28;5;301;43;True;False;False
2023-10-29;2023;10;29;6;302;43;True;False;False
2023-10-30;2023;10;30;0;303;44;False;False;False
2023-10-31;2023;10;31;1;304;44;False;False;False
2023-11-01;2023;11;1;2;305;44;False;False;False
2023-11-02;2023;11;2;3;306;44;False;False;False
2023-11-03;2023;11;3;4;307;44;False;False;False
2023-11-04;2023;11;4;5;308;44;True;False;False
2023-11-05;2023;11;5;6;309;44;True;False;False
2023-11-06;2023;11;6;0;310;45;False;False;False
2023-11-07;2023;11;7;1;311;45;False;False;False
2023-11-08;2023;11;8;2;312;45;False;False;False
2023-11-09;2023;11;9;3;313;45;False;False;False
2023-11-10;2023;11;10;4;314;45;False;False;False
2023-11-11;2023;11;11;5;315;45;True;False;False
2023-11-12;2023;11;12;6;316;45;True;False;False
2023-11-13;2023;11;13;0;317;46;False;False;False
2023-11-14;2023;11;14;1;318;46;False;False;False
2023-11-15;2023;11;15;2;319;46;False;False;False
2023-11-16;2023;11;16;3;320;46;False;False;False
2023-11-17;2023;11;17;4;321;46;False;False;False
2023-11-18;2023;11;18;5;322;46;True;False;False
2023-11-19;2023;11;19;6;323;46;True;False;False
2023-11-20;2023;11;20;0;324;47;False;False;False
2023-11-21;2023;11;21;1;325;47;False;False;False
2023-11-22;2023;11;22;2;326;47;False;False;False
2023-11-23;2023;11;23;3;327;47;False;False;False
2023-11-24;2023;11;24;4;328;47;False;False;False
2023-11-25;2023;11;25;5;329;47;True;False;False
2023-11-26;2023;11;26;6;330;47;True;False;False
2023-11-27;2023;11;27;0;331;48;False;False;False
2023-11-28;2023;11;28;1;332;48;False;False;False
2023-11-29;2023;11;29;2;333;48;False;False;False
2023-11-30;2023;11;30;3;334;48;False;False;False
2023-12-01;2023;12;1;4;335;48;False;False;False
2023-12-02;2023;12;2;5;336;48;True;False;False
2023-12-03;2023;12;3;6;337;48;True;False;False
2023-12-04;2023;12;4;0;338;49;False;False;False
2023-12-05;2023;12;5;1;339;49;False;False;False
2023-12-06;2023;12;6;2;340;49;False;False;False
2023-12-07;2023;12;7;3;341;49;False;False;False
2023-12-08;2023;12;8;4;342;49;False;False;False
2023-12-09;2023;12;9;5;343;49;True;False;False
2023-12-10;2023;12;10;6;344;49;True;False;False
2023-12-11;2023;12;11;0;345;50;False;False;False
2023-12-12;2023;12;12;1;346;50;False;False;False
2023-12-13;2023;12;13;2;347;50;False;False;False
2023-12-14;2023;12;14;3;348;50;False;False;False
2023-12-15;2023;12;15;4;349;50;False;False;False
2023-12-16;2023;12;16;5;350;50;True;False;False
2023-12-17;2023;12;17;6;351;50;True;False;False
2023-12-18;2023;12;18;0;352;51;False;False;False
2023-12-19;2023;12;19;1;353;51;False;False;False
2023-12-20;2023;12;20;2;354;51;False;False;False
2023-12-21;2023;12;21;3;355;51;False;False;False
2023-12-22;2023;12;22;4;356;51;False;False;False
2023-12-23;2023;12;23;5;357;51;True;False;False
2023-12-24;2023;12;24;6;358;51;True;False;False
2023-12-25;2023;12;25;0;359;52;False;False;False
2023-12-26;2023;12;26;1;360;52;False;False;False
2023-12-27;2023;12;27;2;361;52;False;False;False
2023-12-28;2023;12;28;3;362;52;False;False;False
2023-12-29;2023;12;29;4;363;52;False;False;False
2023-12-30;2023;12;30;5;364;52;True;False;False
2023-12-31;2023;12;31;6;365;52;True;False;False
2024-01-01;2024;1;1;0;1;1;False;False;False
